data;total
01/01/00;356
02/01/00;483
03/01/00;568
04/01/00;559
05/01/00;552
06/01/00;543
07/01/00;542
08/01/00;362
09/01/00;428
10/01/00;555
11/01/00;534
12/01/00;568
13/01/00;550
14/01/00;551
15/01/00;368
16/01/00;435
17/01/00;545
18/01/00;550
19/01/00;553
20/01/00;540
21/01/00;544
22/01/00;375
23/01/00;437
24/01/00;543
25/01/00;543
26/01/00;553
27/01/00;562
28/01/00;556
29/01/00;371
30/01/00;434
31/01/00;565
01/02/00;552
02/02/00;539
03/02/00;542
04/02/00;541
05/02/00;333
06/02/00;407
07/02/00;541
08/02/00;535
09/02/00;542
10/02/00;548
11/02/00;554
12/02/00;339
13/02/00;400
14/02/00;549
15/02/00;545
16/02/00;551
17/02/00;566
18/02/00;543
19/02/00;325
20/02/00;370
21/02/00;537
22/02/00;532
23/02/00;544
24/02/00;533
25/02/00;541
26/02/00;344
27/02/00;384
28/02/00;560
29/02/00;538
01/03/00;551
02/03/00;544
03/03/00;564
04/03/00;351
05/03/00;367
06/03/00;541
07/03/00;554
08/03/00;602
09/03/00;546
10/03/00;546
11/03/00;339
12/03/00;397
13/03/00;550
14/03/00;547
15/03/00;550
16/03/00;558
17/03/00;567
18/03/00;356
19/03/00;400
20/03/00;549
21/03/00;548
22/03/00;554
23/03/00;558
24/03/00;559
25/03/00;347
26/03/00;395
27/03/00;554
28/03/00;551
29/03/00;552
30/03/00;558
31/03/00;554
01/04/00;332
02/04/00;373
03/04/00;549
04/04/00;547
05/04/00;547
06/04/00;557
07/04/00;557
08/04/00;323
09/04/00;362
10/04/00;551
11/04/00;555
12/04/00;563
13/04/00;566
14/04/00;554
15/04/00;330
16/04/00;379
17/04/00;556
18/04/00;557
19/04/00;558
20/04/00;551
21/04/00;539
22/04/00;315
23/04/00;391
24/04/00;545
25/04/00;543
26/04/00;536
27/04/00;544
28/04/00;547
29/04/00;322
30/04/00;357
01/05/00;554
02/05/00;546
03/05/00;547
04/05/00;538
05/05/00;554
06/05/00;321
07/05/00;365
08/05/00;549
09/05/00;540
10/05/00;544
11/05/00;547
12/05/00;546
13/05/00;325
14/05/00;370
15/05/00;569
16/05/00;559
17/05/00;565
18/05/00;572
19/05/00;568
20/05/00;323
22/05/00;566
23/05/00;574
24/05/00;564
25/05/00;558
26/05/00;563
27/05/00;323
28/05/00;360
29/05/00;568
30/05/00;557
31/05/00;563
01/06/00;559
02/06/00;571
03/06/00;312
04/06/00;359
05/06/00;569
06/06/00;560
07/06/00;571
08/06/00;572
09/06/00;572
10/06/00;313
11/06/00;365
12/06/00;570
13/06/00;566
14/06/00;578
15/06/00;580
16/06/00;578
17/06/00;339
18/06/00;393
19/06/00;610
20/06/00;600
21/06/00;588
22/06/00;576
23/06/00;554
24/06/00;334
25/06/00;404
26/06/00;599
27/06/00;571
28/06/00;588
29/06/00;590
30/06/00;587
01/07/00;371
02/07/00;402
03/07/00;571
04/07/00;578
05/07/00;588
06/07/00;579
07/07/00;577
08/07/00;392
09/07/00;412
10/07/00;575
11/07/00;579
12/07/00;571
13/07/00;579
14/07/00;578
15/07/00;383
16/07/00;419
17/07/00;573
18/07/00;565
19/07/00;573
20/07/00;569
21/07/00;580
22/07/00;393
23/07/00;423
24/07/00;579
25/07/00;572
26/07/00;580
27/07/00;585
28/07/00;590
29/07/00;385
30/07/00;413
31/07/00;592
01/08/00;579
02/08/00;572
03/08/00;580
04/08/00;576
05/08/00;353
06/08/00;378
07/08/00;602
08/08/00;558
09/08/00;564
10/08/00;555
11/08/00;562
12/08/00;330
13/08/00;365
14/08/00;548
15/08/00;550
16/08/00;548
17/08/00;552
18/08/00;552
19/08/00;312
20/08/00;368
21/08/00;554
22/08/00;551
23/08/00;558
24/08/00;552
25/08/00;564
26/08/00;325
27/08/00;367
28/08/00;576
29/08/00;560
30/08/00;552
31/08/00;580
01/09/00;582
02/09/00;371
03/09/00;382
04/09/00;566
05/09/00;559
06/09/00;568
07/09/00;539
08/09/00;515
09/09/00;333
10/09/00;411
11/09/00;577
12/09/00;587
13/09/00;590
14/09/00;587
15/09/00;577
16/09/00;346
17/09/00;395
18/09/00;570
19/09/00;567
20/09/00;564
21/09/00;574
22/09/00;570
23/09/00;341
24/09/00;387
25/09/00;576
26/09/00;563
27/09/00;564
28/09/00;559
29/09/00;568
30/09/00;327
01/10/00;368
02/10/00;568
03/10/00;569
04/10/00;580
05/10/00;574
06/10/00;576
07/10/00;354
08/10/00;376
09/10/00;562
10/10/00;564
11/10/00;564
12/10/00;570
13/10/00;557
14/10/00;343
15/10/00;408
16/10/00;570
17/10/00;562
18/10/00;564
19/10/00;562
20/10/00;561
21/10/00;343
22/10/00;380
23/10/00;570
24/10/00;574
25/10/00;555
26/10/00;553
27/10/00;559
28/10/00;345
29/10/00;373
30/10/00;552
31/10/00;551
01/11/00;564
02/11/00;554
03/11/00;540
04/11/00;334
05/11/00;405
06/11/00;572
07/11/00;565
08/11/00;554
09/11/00;556
10/11/00;554
11/11/00;337
12/11/00;391
13/11/00;560
14/11/00;555
15/11/00;545
16/11/00;557
17/11/00;585
18/11/00;344
19/11/00;381
20/11/00;562
21/11/00;554
22/11/00;553
23/11/00;557
24/11/00;562
25/11/00;339
26/11/00;372
27/11/00;551
28/11/00;549
29/11/00;560
30/11/00;573
01/12/00;560
02/12/00;338
03/12/00;382
04/12/00;565
05/12/00;558
06/12/00;555
07/12/00;555
08/12/00;554
09/12/00;339
10/12/00;387
11/12/00;561
12/12/00;552
13/12/00;578
14/12/00;573
15/12/00;584
16/12/00;365
17/12/00;403
18/12/00;580
19/12/00;576
20/12/00;565
21/12/00;567
22/12/00;565
23/12/00;377
24/12/00;364
25/12/00;559
26/12/00;593
27/12/00;591
28/12/00;578
29/12/00;595
30/12/00;398
31/12/00;366
01/01/01;584
02/01/01;600
03/01/01;590
04/01/01;580
05/01/01;581
06/01/01;390
07/01/01;396
08/01/01;564
09/01/01;579
10/01/01;577
11/01/01;585
12/01/01;578
13/01/01;396
14/01/01;404
15/01/01;591
16/01/01;594
17/01/01;604
18/01/01;601
19/01/01;599
20/01/01;430
21/01/01;429
22/01/01;599
23/01/01;586
24/01/01;595
25/01/01;589
26/01/01;591
27/01/01;411
28/01/01;432
29/01/01;605
30/01/01;595
31/01/01;591
01/02/01;636
02/02/01;625
03/02/01;409
04/02/01;449
05/02/01;629
06/02/01;623
07/02/01;617
08/02/01;621
09/02/01;624
10/02/01;387
11/02/01;434
12/02/01;627
13/02/01;631
14/02/01;631
15/02/01;626
16/02/01;623
17/02/01;369
18/02/01;425
19/02/01;623
20/02/01;613
21/02/01;614
22/02/01;625
23/02/01;645
24/02/01;438
25/02/01;418
26/02/01;607
27/02/01;617
28/02/01;662
01/03/01;627
02/03/01;617
03/03/01;402
04/03/01;436
05/03/01;630
06/03/01;635
07/03/01;636
08/03/01;644
09/03/01;642
10/03/01;402
11/03/01;466
12/03/01;630
13/03/01;624
14/03/01;629
15/03/01;633
16/03/01;627
17/03/01;389
18/03/01;459
19/03/01;633
20/03/01;626
21/03/01;627
22/03/01;627
23/03/01;630
24/03/01;389
25/03/01;458
26/03/01;635
27/03/01;626
28/03/01;636
29/03/01;639
30/03/01;627
31/03/01;363
01/04/01;443
02/04/01;628
03/04/01;632
04/04/01;633
05/04/01;641
06/04/01;650
07/04/01;365
08/04/01;457
09/04/01;634
10/04/01;631
11/04/01;632
12/04/01;657
13/04/01;626
14/04/01;371
15/04/01;478
16/04/01;660
17/04/01;661
18/04/01;650
19/04/01;659
20/04/01;664
21/04/01;393
22/04/01;469
23/04/01;665
24/04/01;686
25/04/01;676
26/04/01;693
27/04/01;686
28/04/01;413
29/04/01;446
30/04/01;649
01/05/01;675
02/05/01;708
03/05/01;714
04/05/01;711
05/05/01;412
06/05/01;496
07/05/01;706
08/05/01;696
09/05/01;695
10/05/01;702
11/05/01;702
12/05/01;409
